evidence_role,canonical_artifact_name,scope,archive_path,member_path,archive_sha256,member_sha256,status,note
comparison_headline,nrr_patterns_comparison_headline_summary,main comparison spine,results/analysis/nrr_patterns_comparison_headline_summary_v3_2026-04-12.csv,,1b863bcbdc488f702f303968479e316fa7f31ff789bd169cf14d42165ed18834,,active,Reviewer-facing NRR-Patterns summary over the exact-replication `t=0.0` headline runs with separated Stage2 robustness reporting
comparison_provider_separated,nrr_patterns_provider_separated_stability_summary,main comparison spine,results/analysis/nrr_patterns_provider_separated_stability_summary_v3_2026-04-12.csv,,f5f4ba9d8b55a1ac3e0f3440b32929a47bc7351d96774bdeb62a237de0d50b77,,active,"Reviewer-facing provider-separated stability summary for the two exact-replication runs and the separated Stage2 robustness member including negative-provider flags and, where a Stage2 negative provider exists, worst-row outlier context"
comparison_source,nrr_patterns_comparison_stage1_main_source,main comparison spine,results/nrr_patterns_results_allproviders_clean.zip,results/analysis/nrr_patterns_allproviders_pattern_summary_robust_t00.csv,4ca2ce2e86981d45c671bcf75441b62d1f47b9b1ae886b7af826062b0c77f67d,d66769dd9228c1e7cd9c2bb8862eb96a86eb708f92fa3c39119029c8915241e0,supporting,Stage1 main t=0.0 robust comparison source used to build the exact-replication headline summary
comparison_source,nrr_patterns_comparison_stage1_main_paired_deltas_merged_source,main comparison spine,results/nrr_patterns_results_allproviders_clean.zip,results/analysis/nrr_patterns_allproviders_paired_deltas_merged_t00.csv,4ca2ce2e86981d45c671bcf75441b62d1f47b9b1ae886b7af826062b0c77f67d,b3d7c4beec873b7339f5e2af58198796654d55cf396149170440748b9bf55947,supporting,Stage1 main t=0.0 merged paired-delta source used for row-level drill-down on the exact-replication headline
comparison_provider_separated_source,nrr_patterns_provider_separated_stage1_main_anthropic_raw_source,main comparison spine,results/nrr_patterns_results_allproviders_clean.zip,results/analysis/nrr_patterns_prod_anthropic_clean_t00_paired_deltas.csv,4ca2ce2e86981d45c671bcf75441b62d1f47b9b1ae886b7af826062b0c77f67d,f7c8fe6cb62b4ffeeb3b8bad88738ca0a63763d453667d55f3488eb79a4c208f,supporting,Stage1 main Anthropic provider-specific raw paired-delta source used to build the provider-separated stability summary
comparison_provider_separated_source,nrr_patterns_provider_separated_stage1_main_gemini_raw_source,main comparison spine,results/nrr_patterns_results_allproviders_clean.zip,results/analysis/nrr_patterns_prod_gemini_clean_t00_paired_deltas.csv,4ca2ce2e86981d45c671bcf75441b62d1f47b9b1ae886b7af826062b0c77f67d,1ee4e2f850f41de11a0a3c07f9b0df86e64ed7993d2ea3a82ee0634d30da79ff,supporting,Stage1 main Gemini provider-specific raw paired-delta source used to build the provider-separated stability summary
comparison_provider_separated_source,nrr_patterns_provider_separated_stage1_main_openai_raw_source,main comparison spine,results/nrr_patterns_results_allproviders_clean.zip,results/analysis/nrr_patterns_prod_openai_clean_t00_paired_deltas.csv,4ca2ce2e86981d45c671bcf75441b62d1f47b9b1ae886b7af826062b0c77f67d,7ca2e75b8fe02c0656725bb35deb366bb5ea76163dacd0b76db04edb702a02c7,supporting,Stage1 main OpenAI provider-specific raw paired-delta source used to build the provider-separated stability summary
comparison_source,nrr_patterns_comparison_stage1_rep2_source,main comparison spine,results/nrr_patterns_results_stage1_t00_rep2.zip,results/analysis/nrr_patterns_allproviders_pattern_summary_robust_t00.csv,1d0397469f7cfb90fda966d1db58e983cd0134f783dd3ba32381775a38636fa7,270aaa4c7fe3cf21925ad72f39627b46bb7f7a97ca81c6549dc580bc45f0ea5c,supporting,Stage1 rep2 t=0.0 robust comparison source used to build the exact-replication headline summary
comparison_provider_separated_source,nrr_patterns_provider_separated_stage1_rep2_anthropic_raw_source,main comparison spine,results/nrr_patterns_results_stage1_t00_rep2.zip,results/analysis/nrr_patterns_prod_anthropic_clean_t00_paired_deltas.csv,1d0397469f7cfb90fda966d1db58e983cd0134f783dd3ba32381775a38636fa7,3675e3e1963895e3bc5d9bf624c723529c9701e8c56a1502ecb2293eb879da2d,supporting,Stage1 rep2 Anthropic provider-specific raw paired-delta source used to build the provider-separated stability summary
comparison_provider_separated_source,nrr_patterns_provider_separated_stage1_rep2_gemini_raw_source,main comparison spine,results/nrr_patterns_results_stage1_t00_rep2.zip,results/analysis/nrr_patterns_prod_gemini_clean_t00_paired_deltas.csv,1d0397469f7cfb90fda966d1db58e983cd0134f783dd3ba32381775a38636fa7,d991667e48ee2b3a9ac84f2e02c11bdd559dc39b74d57011ac36d966d6071995,supporting,Stage1 rep2 Gemini provider-specific raw paired-delta source used to build the provider-separated stability summary
