provider,pattern,comparison,n_all,mean_percent,median_percent,trimmed10_mean_percent,weighted_percent_sum_red_over_sum_base,min_percent,max_percent,mean_cost_per_success_delta_tokens
anthropic,delta,combo_vs_baseline,4,31.9618205,32.2295115,31.9618205,31.807681201270576,29.798515,33.589744,550.75
anthropic,delta,combo_vs_compression_only,4,33.1878645,33.830796,33.1878645,33.75876577840112,28.591065,36.498801,601.75
anthropic,delta,compression_only_vs_baseline,4,-2.21992375,-2.619026,-2.21992375,-2.9454230436038116,-10.551432,6.909789,-51.0
anthropic,delta,principle_only_vs_baseline,4,33.92731025,34.168874,33.92731025,33.843488304937914,32.502651,34.868842,586.0
anthropic,hierarchical,combo_vs_baseline,9,38.263011999999996,35.955056,38.263011999999996,38.29076948756468,27.206946,50.951684,254.88888888888889
anthropic,hierarchical,combo_vs_compression_only,9,49.86003433333334,51.30814,49.86003433333334,50.067531064289575,40.261283,57.82241,411.8888888888889
anthropic,hierarchical,compression_only_vs_baseline,9,-24.38208322222222,-21.852388,-24.38208322222222,-23.585378067100653,-51.845907,-0.732064,-157.0
anthropic,hierarchical,principle_only_vs_baseline,9,41.605256,43.994211,41.605256,41.31196795192789,29.136164,51.685393,275.0
anthropic,lazy,combo_vs_baseline,9,38.503635333333335,36.10926,38.503635333333335,40.13062409288825,25.230415,54.608696,737.3333333333334
anthropic,lazy,combo_vs_compression_only,9,13.504636111111111,2.111614,13.504636111111111,20.673076923076923,-8.239278,46.379045,286.6666666666667
anthropic,lazy,compression_only_vs_baseline,9,26.305594444444445,23.617512,26.305594444444445,24.528301886792452,13.157895,40.972685,450.6666666666667
anthropic,lazy,principle_only_vs_baseline,9,46.312376444444446,41.305796,46.312376444444446,47.496371552975326,40.841014,56.869565,872.6666666666666
gemini,delta,combo_vs_baseline,4,-64.56853149999999,-52.3738235,-64.56853149999999,-53.48148148148149,-166.007905,12.481426,-631.75
gemini,delta,combo_vs_compression_only,4,4.859602249999999,11.110071,4.859602249999999,3.3582089552238807,-36.097068,33.315335,63.0
gemini,delta,compression_only_vs_baseline,4,-63.74349175,-65.5661005,-63.74349175,-58.81481481481482,-99.101796,-24.73997,-694.75
gemini,delta,principle_only_vs_baseline,4,32.23228175,31.9278975,32.23228175,33.86243386243386,20.750988,44.322344,400.0
gemini,hierarchical,combo_vs_baseline,9,33.05527311111111,44.993969,33.05527311111111,33.93356100589879,-51.329787,68.085106,48.44444444444444
gemini,hierarchical,combo_vs_compression_only,9,27.204032555555557,44.04908,27.204032555555557,30.97632176451508,-95.197256,57.522124,17.77777777777778
gemini,hierarchical,compression_only_vs_baseline,9,1.5092465555555559,22.473404,1.5092465555555559,4.2843837317603235,-66.780822,28.770596,30.666666666666668
gemini,hierarchical,principle_only_vs_baseline,9,71.88885866666666,73.005319,71.88885866666666,72.33778329711271,66.609589,76.477684,450.1111111111111
gemini,lazy,combo_vs_baseline,9,-27.840377111111113,-59.443099,-27.840377111111113,-38.30052675353479,-77.964427,45.805921,-614.0
gemini,lazy,combo_vs_compression_only,9,6.435959333333333,2.781845,6.435959333333333,-1.6039513213503744,-45.241935,54.829339,-35.0
gemini,lazy,compression_only_vs_baseline,9,-35.31815955555555,-24.615385,-35.31815955555555,-36.11727197116718,-65.375303,-13.157895,-579.0
gemini,lazy,principle_only_vs_baseline,9,41.42590355555555,44.494494,41.42590355555555,42.07790407540893,30.678733,46.670702,674.5555555555555
openai,delta,combo_vs_baseline,4,31.4342465,31.5812895,31.4342465,31.644678979771328,27.128862,35.445545,449.75
openai,delta,combo_vs_compression_only,4,38.0687105,38.3264355,38.0687105,40.617359413202934,24.864025,50.757946,664.5
openai,delta,compression_only_vs_baseline,4,-13.9728485,-12.1388335,-13.9728485,-15.109938434476694,-34.628045,3.014318,-214.75
openai,delta,principle_only_vs_baseline,4,46.74902125,46.6371945,46.74902125,46.73702726473175,46.138614,47.583082,664.25
openai,hierarchical,combo_vs_baseline,9,37.525738555555556,44.137931,37.525738555555556,37.800925925925924,8.649789,49.628253,-117.11111111111111
openai,hierarchical,combo_vs_compression_only,9,40.44352611111111,49.06367,40.44352611111111,40.971001757469246,8.649789,54.214559,414.44444444444446
openai,hierarchical,compression_only_vs_baseline,9,-6.037913333333333,0.0,-6.037913333333333,-5.37037037037037,-20.0,3.724395,-531.5555555555555
openai,hierarchical,principle_only_vs_baseline,9,57.69859311111111,55.862069,57.69859311111111,57.986111111111114,53.303965,62.639405,278.3333333333333
openai,lazy,combo_vs_baseline,9,18.304599222222222,9.123435,18.304599222222222,23.93763375114644,-3.816794,46.759482,348.0
openai,lazy,combo_vs_compression_only,9,2.950819222222222,-4.270833,2.950819222222222,9.27985414767548,-24.770642,36.078886,113.11111111111111
openai,lazy,compression_only_vs_baseline,9,15.920832888888889,16.568545,15.920832888888889,16.15713848975848,11.717352,18.674988,234.88888888888889
openai,lazy,principle_only_vs_baseline,9,21.12194288888889,13.924051,21.12194288888889,25.045857535921733,7.513417,43.302928,364.1111111111111
