provider,model,tier,pattern,scenario,repetition,temperature,baseline_tokens,pattern_tokens,reduction_tokens,reduction_percent,baseline_success_rate,pattern_success_rate,baseline_cost_per_success_tokens,pattern_cost_per_success_tokens,cost_per_success_delta_tokens
gemini,gemini-2.0-flash,tier1,hierarchical,scenario1,1,0.0,298.0,162.0,136.0,45.637584,1.0,1.0,298.0,162.0,136.0
gemini,gemini-2.0-flash,tier1,hierarchical,scenario1,2,0.0,297.0,162.0,135.0,45.454545,1.0,1.0,297.0,162.0,135.0
gemini,gemini-2.0-flash,tier1,hierarchical,scenario1,3,0.0,300.0,162.0,138.0,46.0,1.0,1.0,300.0,162.0,138.0
gemini,gemini-2.0-flash,tier1,hierarchical,scenario1,4,0.0,298.0,162.0,136.0,45.637584,1.0,1.0,298.0,162.0,136.0
gemini,gemini-2.0-flash,tier1,hierarchical,scenario1,5,0.0,346.0,162.0,184.0,53.179191,1.0,1.0,346.0,162.0,184.0
gemini,gemini-2.0-flash,tier1,hierarchical,scenario2,1,0.0,458.0,452.0,6.0,1.310044,1.0,1.0,458.0,452.0,6.0
gemini,gemini-2.0-flash,tier1,hierarchical,scenario2,2,0.0,382.0,164.0,218.0,57.068063,1.0,1.0,382.0,164.0,218.0
gemini,gemini-2.0-flash,tier1,hierarchical,scenario2,3,0.0,481.0,475.0,6.0,1.247401,1.0,1.0,481.0,475.0,6.0
gemini,gemini-2.0-flash,tier1,hierarchical,scenario2,4,0.0,635.0,351.0,284.0,44.724409,1.0,1.0,635.0,351.0,284.0
gemini,gemini-2.0-flash,tier1,hierarchical,scenario2,5,0.0,500.0,145.0,355.0,71.0,1.0,1.0,500.0,145.0,355.0
gemini,gemini-2.0-flash,tier1,hierarchical,scenario3,1,0.0,356.0,150.0,206.0,57.865169,1.0,1.0,356.0,150.0,206.0
gemini,gemini-2.0-flash,tier1,hierarchical,scenario3,2,0.0,376.0,152.0,224.0,59.574468,1.0,1.0,376.0,152.0,224.0
gemini,gemini-2.0-flash,tier1,hierarchical,scenario3,3,0.0,601.0,152.0,449.0,74.708819,1.0,1.0,601.0,152.0,449.0
gemini,gemini-2.0-flash,tier1,hierarchical,scenario3,4,0.0,350.0,151.0,199.0,56.857143,1.0,1.0,350.0,151.0,199.0
gemini,gemini-2.0-flash,tier1,hierarchical,scenario3,5,0.0,341.0,151.0,190.0,55.718475,1.0,1.0,341.0,151.0,190.0
gemini,gemini-2.0-flash,tier1,lazy,scenario1,1,0.0,1984.0,1848.0,136.0,6.854839,1.0,1.0,1984.0,1848.0,136.0
gemini,gemini-2.0-flash,tier1,lazy,scenario1,2,0.0,1874.0,1891.0,-17.0,-0.90715,1.0,1.0,1874.0,1891.0,-17.0
gemini,gemini-2.0-flash,tier1,lazy,scenario1,3,0.0,1985.0,2107.0,-122.0,-6.146096,1.0,1.0,1985.0,2107.0,-122.0
gemini,gemini-2.0-flash,tier1,lazy,scenario1,4,0.0,1891.0,1725.0,166.0,8.778424,1.0,1.0,1891.0,1725.0,166.0
gemini,gemini-2.0-flash,tier1,lazy,scenario1,5,0.0,1830.0,1747.0,83.0,4.535519,1.0,1.0,1830.0,1747.0,83.0
gemini,gemini-2.0-flash,tier1,lazy,scenario2,1,0.0,1155.0,679.0,476.0,41.212121,1.0,1.0,1155.0,679.0,476.0
gemini,gemini-2.0-flash,tier1,lazy,scenario2,2,0.0,1090.0,753.0,337.0,30.917431,1.0,1.0,1090.0,753.0,337.0
gemini,gemini-2.0-flash,tier1,lazy,scenario2,3,0.0,1407.0,716.0,691.0,49.111585,1.0,1.0,1407.0,716.0,691.0
gemini,gemini-2.0-flash,tier1,lazy,scenario2,4,0.0,1458.0,519.0,939.0,64.403292,1.0,1.0,1458.0,519.0,939.0
gemini,gemini-2.0-flash,tier1,lazy,scenario2,5,0.0,1009.0,493.0,516.0,51.139742,1.0,1.0,1009.0,493.0,516.0
gemini,gemini-2.0-flash,tier1,lazy,scenario3,1,0.0,1890.0,1052.0,838.0,44.338624,1.0,1.0,1890.0,1052.0,838.0
gemini,gemini-2.0-flash,tier1,lazy,scenario3,2,0.0,1618.0,1074.0,544.0,33.621755,1.0,1.0,1618.0,1074.0,544.0
gemini,gemini-2.0-flash,tier1,lazy,scenario3,3,0.0,1856.0,1058.0,798.0,42.99569,1.0,1.0,1856.0,1058.0,798.0
gemini,gemini-2.0-flash,tier1,lazy,scenario3,4,0.0,1780.0,1106.0,674.0,37.865169,1.0,1.0,1780.0,1106.0,674.0
gemini,gemini-2.0-flash,tier1,lazy,scenario3,5,0.0,1753.0,1068.0,685.0,39.07587,1.0,1.0,1753.0,1068.0,685.0
gemini,gemini-2.0-flash,tier2,delta,scenario1,1,0.0,1618.0,712.0,906.0,55.995056,1.0,1.0,1618.0,712.0,906.0
gemini,gemini-2.0-flash,tier2,delta,scenario1,2,0.0,1368.0,1043.0,325.0,23.75731,1.0,1.0,1368.0,1043.0,325.0
gemini,gemini-2.0-flash,tier2,delta,scenario1,3,0.0,1675.0,927.0,748.0,44.656716,1.0,1.0,1675.0,927.0,748.0
gemini,gemini-2.0-flash,tier2,delta,scenario2,1,0.0,1406.0,789.0,617.0,43.883357,1.0,1.0,1406.0,789.0,617.0
gemini,gemini-2.0-flash,tier2,delta,scenario2,2,0.0,1419.0,724.0,695.0,48.978154,1.0,1.0,1419.0,724.0,695.0
gemini,gemini-2.0-flash,tier2,delta,scenario2,3,0.0,1723.0,736.0,987.0,57.283807,1.0,1.0,1723.0,736.0,987.0
anthropic,claude-sonnet-4-20250514,tier1,hierarchical,scenario1,1,0.0,465.0,360.0,105.0,22.580645,1.0,1.0,465.0,360.0,105.0
anthropic,claude-sonnet-4-20250514,tier1,hierarchical,scenario1,2,0.0,465.0,360.0,105.0,22.580645,1.0,1.0,465.0,360.0,105.0
anthropic,claude-sonnet-4-20250514,tier1,hierarchical,scenario1,3,0.0,465.0,360.0,105.0,22.580645,1.0,1.0,465.0,360.0,105.0
anthropic,claude-sonnet-4-20250514,tier1,hierarchical,scenario1,4,0.0,465.0,360.0,105.0,22.580645,1.0,1.0,465.0,360.0,105.0
anthropic,claude-sonnet-4-20250514,tier1,hierarchical,scenario1,5,0.0,465.0,360.0,105.0,22.580645,1.0,1.0,465.0,360.0,105.0
anthropic,claude-sonnet-4-20250514,tier1,hierarchical,scenario2,1,0.0,506.0,264.0,242.0,47.826087,1.0,1.0,506.0,264.0,242.0
anthropic,claude-sonnet-4-20250514,tier1,hierarchical,scenario2,2,0.0,506.0,264.0,242.0,47.826087,1.0,1.0,506.0,264.0,242.0
anthropic,claude-sonnet-4-20250514,tier1,hierarchical,scenario2,3,0.0,506.0,264.0,242.0,47.826087,1.0,1.0,506.0,264.0,242.0
anthropic,claude-sonnet-4-20250514,tier1,hierarchical,scenario2,4,0.0,506.0,264.0,242.0,47.826087,1.0,1.0,506.0,264.0,242.0
anthropic,claude-sonnet-4-20250514,tier1,hierarchical,scenario2,5,0.0,506.0,264.0,242.0,47.826087,1.0,1.0,506.0,264.0,242.0
anthropic,claude-sonnet-4-20250514,tier1,hierarchical,scenario3,1,0.0,483.0,336.0,147.0,30.434783,1.0,1.0,483.0,336.0,147.0
anthropic,claude-sonnet-4-20250514,tier1,hierarchical,scenario3,2,0.0,483.0,336.0,147.0,30.434783,1.0,1.0,483.0,336.0,147.0
anthropic,claude-sonnet-4-20250514,tier1,hierarchical,scenario3,3,0.0,483.0,336.0,147.0,30.434783,1.0,1.0,483.0,336.0,147.0
anthropic,claude-sonnet-4-20250514,tier1,hierarchical,scenario3,4,0.0,483.0,336.0,147.0,30.434783,1.0,1.0,483.0,336.0,147.0
anthropic,claude-sonnet-4-20250514,tier1,hierarchical,scenario3,5,0.0,483.0,336.0,147.0,30.434783,1.0,1.0,483.0,336.0,147.0
anthropic,claude-sonnet-4-20250514,tier1,lazy,scenario1,1,0.0,1878.0,1460.0,418.0,22.257721,1.0,1.0,1878.0,1460.0,418.0
anthropic,claude-sonnet-4-20250514,tier1,lazy,scenario1,2,0.0,1878.0,1465.0,413.0,21.99148,1.0,1.0,1878.0,1465.0,413.0
anthropic,claude-sonnet-4-20250514,tier1,lazy,scenario1,3,0.0,1878.0,1465.0,413.0,21.99148,1.0,1.0,1878.0,1465.0,413.0
anthropic,claude-sonnet-4-20250514,tier1,lazy,scenario1,4,0.0,1878.0,1465.0,413.0,21.99148,1.0,1.0,1878.0,1465.0,413.0
anthropic,claude-sonnet-4-20250514,tier1,lazy,scenario1,5,0.0,1878.0,1460.0,418.0,22.257721,1.0,1.0,1878.0,1460.0,418.0
anthropic,claude-sonnet-4-20250514,tier1,lazy,scenario2,1,0.0,1164.0,925.0,239.0,20.532646,1.0,1.0,1164.0,925.0,239.0
anthropic,claude-sonnet-4-20250514,tier1,lazy,scenario2,2,0.0,1164.0,925.0,239.0,20.532646,1.0,1.0,1164.0,925.0,239.0
anthropic,claude-sonnet-4-20250514,tier1,lazy,scenario2,3,0.0,1164.0,925.0,239.0,20.532646,1.0,1.0,1164.0,925.0,239.0
anthropic,claude-sonnet-4-20250514,tier1,lazy,scenario2,4,0.0,1164.0,925.0,239.0,20.532646,1.0,1.0,1164.0,925.0,239.0
anthropic,claude-sonnet-4-20250514,tier1,lazy,scenario2,5,0.0,1164.0,925.0,239.0,20.532646,1.0,1.0,1164.0,925.0,239.0
anthropic,claude-sonnet-4-20250514,tier1,lazy,scenario3,1,0.0,2106.0,1318.0,788.0,37.416904,1.0,1.0,2106.0,1318.0,788.0
anthropic,claude-sonnet-4-20250514,tier1,lazy,scenario3,2,0.0,2106.0,1329.0,777.0,36.894587,1.0,1.0,2106.0,1329.0,777.0
anthropic,claude-sonnet-4-20250514,tier1,lazy,scenario3,3,0.0,2150.0,1329.0,821.0,38.186047,1.0,1.0,2150.0,1329.0,821.0
anthropic,claude-sonnet-4-20250514,tier1,lazy,scenario3,4,0.0,2150.0,1329.0,821.0,38.186047,1.0,1.0,2150.0,1329.0,821.0
anthropic,claude-sonnet-4-20250514,tier1,lazy,scenario3,5,0.0,2150.0,1329.0,821.0,38.186047,1.0,1.0,2150.0,1329.0,821.0
anthropic,claude-sonnet-4-20250514,tier2,delta,scenario1,1,0.0,1564.0,780.0,784.0,50.127877,1.0,1.0,1564.0,780.0,784.0
anthropic,claude-sonnet-4-20250514,tier2,delta,scenario1,2,0.0,1564.0,780.0,784.0,50.127877,1.0,1.0,1564.0,780.0,784.0
